ref,value,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C1,0u1,,,,,,,,
C2,47n,,,,,,,,
C3,47n,,,,,,,,
C4,47n,,,,,,,,
C5,47n,,,,,,,,
C6,0u1,,,,,,,,
C7,47n,,,,,,,,
C8,47n,,,,,,,,
C9,47n,,,,,,,,
C10,47n,,,,,,,,
C11,0.1u,,,,,,,,
C12,0.1u,,,,,,,,
C14,0u1,,,,,,,,
C18,10u,,,,,,,,
C19,10u,,,,,,,,
C20,0u22,,,,,,,,
C22,100u,,,,,,,,
C24,0u1,,,,,,,,
C26,0u22,,,,,,,,
C30,0u22,,,,,,,,
C32,100u,,,,,,,,
C34,0u1,,,,,,,,
C36,0u22,,,,,,,,
C40,0u1,,,,,,,,
C41,0u1,,,,,,,,
C55,0u1,,,,,,,,
C56,0u1,,,,,,,,
C75,0u1,,,,,,,,
C77,0u1,,,,,,,,
C92,100u,,,,,,,,
C94,100u,,,,,,,,
D1,Blue LED,,,,,,,,
D2,Green LED,,,,,,,,
D3,red LED,,,,,,,,
D4,red LED,,,,,,,,
D6,LED,,,,,,,,
D7,LED,,,,,,,,
D9,LED,,,,,,,,
D12,LED,,,,,,,,
J1,EXPANSION,,,,,,,,
J2,PWR,,,,,,,,
J3,VREF,,,,,,,,
J4,PWR,,,,,,,,
J5,E2 H&T,,,,,,,,
J6,SPADE1,,,,,,,,
J7,SPADE1,,,,,,,,
J8,E2 MOT/STOP,,,,,,,,
J9,E1 MOT/STOP,,,,,,,,
J10,E0 COOL,,,,,,,,
J11,E0 TEMP,,,,,,,,
J12,E1 H&T,,,,,,,,
J13,FAN_0,,,,,,,,
J14,E0 MOT/STOP,,,,,,,,
J15,E0 MOT/STOP,,,,,,,,
J16,CONN2,,,,,,,,
J17,VREF,,,,,,,,
J19,E0 HEAT,,,,,,,,
J24,PWR,,,,,,,,
J27,TP,,,,,,,,
J28,Probe,,,,,,,,
P1,STEP,,,,,,,,
P2,E0 H&T,,,,,,,,
R1,4k7,,,,,,,,
R2,680R,,,,,,,,
R3,470R,,,,,,,,
R4,470R,,,,,,,,
R5,10K,,,,,,,,
R6,10K,,,,,,,,
R18,470R,,,,,,,,
R19,4K7,,,,,,,,
R20,220R,,,,,,,,
R21,4K7,,,,,,,,
R22,470R,,,,,,,,
R23,220R,,,,,,,,
R26,100k,,,,,,,,
R27,10k,,,,,,,,
R30,0R,,,,,,,,
R32,0R1,,,,,,,,
R34,0R1,,,,,,,,
R37,2k7,,,,,,,,
R38,100k,,,,,,,,
R39,10k,,,,,,,,
R42,0R,,,,,,,,
R44,0R1,,,,,,,,
R46,0R1,,,,,,,,
R56,100R,,,,,,,,
R57,100R,,,,,,,,
R65,4k7,,,,,,,,
R66,10k,,,,,,,,
R67,4k7,,,,,,,,
R69,680R,,,,,,,,
R72,680R,,,,,,,,
R77,100k,,,,,,,,
R78,100k,,,,,,,,
SJ1,MS2,,,,,,,,
SJ2,MS1,,,,,,,,
SJ3,MS2,,,,,,,,
SJ4,MS1,,,,,,,,
TR1,BSH105,,,,,,,,
TR2,IPD036N04L,,,,,,,,
TR3,BSH105,,,,,,,,
TR4,IPD036N04L,,,,,,,,
U5,A4982SLPTR,,,,,,,,
U7,A4982SLPTR,,,,,,,,
U9,MCP44X1,,,,,,,,
